var Vs = 50.86799581;

var y [*,*]
:          1              2               3          :=
1    0.01566013725   0.6812180557   0.3031218069
2    0.0331254972    0.7447946821   0.2220798209
3    0.05934269283   0.7501122757   0.1905450319
4    0.09738336679   0.7268632198   0.1757534139
5    0.1495169884    0.68525551     0.1652275023
6    0.2153086522    0.6298815978   0.1548097508
7    0.2900577552    0.5661788422   0.1437634034
8    0.365436919     0.5017350469   0.132828035
9    0.4328257958    0.444072687    0.123101518
10   0.4868809101    0.3978080654   0.1153110252
11   0.5265915382    0.3638180196   0.1095904428
12   0.5539192931    0.3404264549   0.1056542525
13   0.5718905322    0.3250436089   0.1030658592
14   0.5833583678    0.3152274582   0.1014141744
15   0.5905362963    0.3090833457   0.10038036
16   0.5905362963    0.3090833461   0.1003803605
17   0.5905362963    0.3090833461   0.1003803605
18   0.5905362963    0.3090833461   0.1003803605
19   0.5905362963    0.3090833461   0.1003803605
20   0.5905362963    0.3090833461   0.1003803605
21   0.5905362963    0.3090833461   0.1003803605
22   0.5905362963    0.3090833461   0.1003803605
23   0.5905362963    0.3090833461   0.1003803605
24   0.5905362963    0.3090833461   0.1003803605
25   0.5905362964    0.3090833463   0.1003803602
26   0.590536299     0.3090833518   0.1003803521
27   0.5905363681    0.3090834779   0.1003801569
28   0.590538586     0.3090860783   0.1003753386
29   0.5906313603    0.3091159011   0.1002527414
30   0.5956433723    0.3074507812   0.09690585014
;

var Ls = 100.8679961;

var x [*,*]
:          1               2              3          :=
1    0.004356629794   0.4925492207   0.5030941506
2    0.01005702492    0.5876954065   0.4022475669
3    0.0188648616     0.6197572577   0.3613778793
4    0.03208627638    0.6224389214   0.345474801
5    0.05127030741    0.6107143445   0.3380153469
6    0.07756145303    0.5897314469   0.3327070989
7    0.110740385      0.5618062176   0.3274533963
8    0.1484365697     0.5296807372   0.3218826921
9    0.1864504819     0.4971815602   0.3163679569
10   0.2204348572     0.4681022911   0.3114628506
11   0.2476949726     0.4447709386   0.3075340876
12   0.2677211247     0.4276296881   0.304649186
13   0.2815025646     0.4158332765   0.3026641575
14   0.2905654938     0.4080756788   0.301358826
15   0.2963487439     0.4031253764   0.3005258783
16   0.296348747      0.4031253778   0.3005258726
17   0.2963487481     0.4031253796   0.3005258737
18   0.2963487481     0.4031253796   0.3005258737
19   0.2963487481     0.4031253796   0.3005258737
20   0.2963487481     0.4031253796   0.3005258737
21   0.2963487481     0.4031253795   0.3005258737
22   0.2963487481     0.4031253795   0.3005258738
23   0.2963487481     0.4031253795   0.3005258737
24   0.2963487481     0.4031253796   0.3005258737
25   0.2963487484     0.4031253801   0.3005258729
26   0.2963487543     0.4031253936   0.3005258535
27   0.2963489032     0.4031257134   0.3005253848
28   0.2963529562     0.4031331042   0.3005139409
29   0.2964830007     0.403285562    0.3002314386
30   0.3019213754     0.4050337159   0.29304491
;

var PC = 49.99999975;
var PR = 50;

