var V [*] :=
 1 50.17525197    9 49.90853169   17 50.0015448    25 50.00154447
 2 50.53739734   10 49.82359413   18 50.00154426   26 50.00154447
 3 50.64539159   11 49.81007407   19 50.00154443   27 50.00154446
 4 50.62977263   12 49.84685074   20 50.00154444   28 50.00154446
 5 50.5446021    13 49.90361297   21 50.00154445   29 50.00154447
 6 50.40903132   14 49.95834415   22 50.00154445   30  0
 7 50.23784175   15 50.00154538   23 50.00154446
 8 50.05789727   16 50.00154425   24 50.00154447
;

var y [*,*]
:          1               2               3          :=
1    0.005000176171   0.6856171757   0.3093826418
2    0.0107473646     0.7604591258   0.228793505
3    0.01985527469    0.7819889827   0.1981557388
4    0.03419765911    0.7801424567   0.1856598808
5    0.05637061829    0.7649143639   0.1787150147
6    0.08953724628    0.7380247268   0.1724380239
7    0.1366837828     0.698494091    0.1648221232
8    0.1990047268     0.6458573444   0.1551379257
9    0.2738579897     0.5825507758   0.1435912312
10   0.3540011068     0.5147802537   0.1312186358
11   0.429827681      0.4506962999   0.1194760148
12   0.4935624406     0.396868365    0.1095691888
13   0.5419809452     0.356003311    0.1020157358
14   0.575997663      0.3273101521   0.09669217121
15   0.5985998618     0.3082541538   0.09314597536
16   0.5985998744     0.3082541596   0.09314597675
17   0.5985998683     0.3082541569   0.09314597629
18   0.5985998744     0.3082541597   0.09314597703
19   0.5985998725     0.3082541589   0.09314597697
20   0.5985998724     0.3082541588   0.09314597707
21   0.5985998722     0.3082541588   0.09314597716
22   0.5985998722     0.3082541588   0.09314597725
23   0.5985998721     0.3082541588   0.09314597732
24   0.5985998721     0.3082541588   0.09314597738
25   0.598599872      0.3082541588   0.09314597744
26   0.5985998721     0.3082541588   0.09314597749
27   0.5985998722     0.3082541589   0.09314597754
28   0.5985998721     0.3082541589   0.09314597756
29   0.5985998722     0.3082541589   0.09314597724
30   0.5986082648     0.308251412    0.09314032321
;

var L [*] :=
 1   0                11  99.82340346       21   0.001354387212
 2 100.1750612        12  99.80988317       22   0.001354385076
 3 100.537207         13  99.84665946       23   0.001354382025
 4 100.6452014        14  99.90342093       24   0.00135438083
 5 100.6295825        15  99.95815222       25   0.001354378913
 6 100.5444119        16   0.001354530492   26   0.001354377127
 7 100.4088411        17   0.001354381608   27   0.001354375307
 8 100.2376515        18   0.001354447645   28   0.00135437241
 9 100.0577069        19   0.001354372204   29   0.001354372217
10  99.90834118       20   0.001354390075   30   0.001354376383
;

var x [*,*]
:          1               2              3          :=
1    0.001389416763   0.4917474332   0.5068593444
2    0.003197966101   0.5888530079   0.4079490307
3    0.006093420981   0.6268226302   0.3670839527
4    0.01068158321    0.6378000022   0.351518418
5    0.01789624657    0.6368485782   0.3452551784
6    0.02902899011    0.6290718914   0.3418991216
7    0.04564297533    0.6153888641   0.3389681636
8    0.06919725956    0.5953671672   0.3354355763
9    0.1002544544     0.5688480504   0.3308974985
10   0.1374992589     0.5371085541   0.3253921907
11   0.1773840562     0.5032444443   0.3193715038
12   0.2152013479     0.4712618163   0.3135368414
13   0.2470989635     0.4443815058   0.3085195386
14   0.2714249405     0.4239416606   0.3046334126
15   0.2885743842     0.4095638327   0.3018617922
16   0.2885743807     0.4095638249   0.3018617836
17   0.2885743823     0.4095638283   0.3018617879
18   0.2885743804     0.4095638244   0.301861784
19   0.2885743808     0.4095638254   0.3018617856
20   0.2885743807     0.4095638252   0.3018617858
21   0.2885743806     0.4095638251   0.3018617861
22   0.2885743805     0.409563825    0.3018617862
23   0.2885743804     0.409563825    0.3018617864
24   0.2885743803     0.4095638249   0.3018617866
25   0.2885743803     0.4095638248   0.3018617867
26   0.2885743802     0.4095638247   0.3018617867
27   0.2885743801     0.4095638246   0.3018617867
28   0.2885743801     0.4095638245   0.3018617868
29   0.2885743804     0.4095638251   0.3018617861
30   0.2885830444     0.4095675071   0.3018494485
;

var PC = 50.00019052;
var PR = 50;

var T [*] :=
 1 355.7414978    9 346.9109456   17 338.5967948   25 338.5967952
 2 353.4997587   10 345.0814216   18 338.5967953   26 338.5967952
 3 352.4990554   11 343.2323138   19 338.5967951   27 338.5967952
 4 351.9310316   12 341.574996    20 338.5967951   28 338.5967952
 5 351.4082744   13 340.2437987   21 338.5967951   29 338.5967952
 6 350.7367136   14 339.2667811   22 338.5967951   30 338.5963256
 7 349.7970903   15 338.5967942   23 338.5967951
 8 348.5199556   16 338.5967952   24 338.5967952
;

var TF = 338.1587438;
var QC = 467.7867446;
var QR = 515.1222832;

