var Vs = 147.2487242;

var y [*,*]
:          1              2               3          :=
1    0.07441399635   0.5764047972   0.3491812088
2    0.1201875083    0.6309099713   0.2489025225
3    0.167001988     0.6314160598   0.2015819546
4    0.2135377103    0.6074924226   0.1789698696
5    0.2584848716    0.5746145647   0.1669005664
6    0.3004578237    0.5402463319   0.1592958472
7    0.3382691957    0.5079654035   0.1537654036
8    0.3711640577    0.4794192985   0.1494166466
9    0.3988913999    0.4551986431   0.1459099597
10   0.4216344935    0.4352780769   0.1430874323
11   0.4398712336    0.4192865925   0.1408421764
12   0.4542289465    0.4066905819   0.1390804741
13   0.4653699154    0.3969146466   0.1377154405
14   0.4739177168    0.389413507    0.1366687788
15   0.4804192007    0.3837079098   0.1358729078
16   0.4804260586    0.3837226607   0.1358513198
17   0.4804377823    0.3837478753   0.1358143832
18   0.4804578324    0.3837909912   0.135751217
19   0.4804921224    0.3838646989   0.1356432191
20   0.4805507661    0.3839906365   0.1354586375
21   0.4806510833    0.3842055955   0.1351433612
22   0.4808228484    0.3845717826   0.1346054088
23   0.4811177787    0.3851931782   0.1336890828
24   0.4816280206    0.3862393852   0.1321326339
25   0.4825272539    0.3879719455   0.1295008405
26   0.4841792372    0.390738337    0.1250824662
27   0.4874707417    0.3947831898   0.1177461099
28   0.4949112215    0.3993202543   0.105768567
29   0.5141884496    0.3990717473   0.08673984724
30   0.567919331     0.3740096505   0.05807107188
;

var Ls = 247.2487248;

var x [*,*]
:          1              2              3          :=
1    0.03208067237   0.4259903596   0.5419289476
2    0.05729224726   0.5155695182   0.4271382213
3    0.08455262029   0.5480300138   0.3674173527
4    0.112432937     0.5483314118   0.339235638
5    0.1401472377    0.5340837145   0.3257690348
6    0.1669154712    0.5145033416   0.3185811742
7    0.1919124171    0.494035378    0.3140521919
8    0.2144309385    0.4748105064   0.3107585422
9    0.2340214376    0.4578099047   0.3081686447
10   0.2505344263    0.4433853196   0.306080241
11   0.2640790512    0.4315216478   0.3043992878
12   0.2749399224    0.4219979363   0.3030621281
13   0.283490643     0.4144963956   0.3020129481
14   0.2901256354    0.4086743476   0.3012000036
15   0.2952162697    0.4042070519   0.300576665
16   0.2952287421    0.4042338827   0.3005372652
17   0.2952501374    0.4042798806   0.300470006
18   0.2952866732    0.4043584597   0.300354894
19   0.2953491587    0.4044928289   0.3001580386
20   0.2954560227    0.404722537    0.2998214657
21   0.2956387843    0.4051150183   0.2992462219
22   0.2959514205    0.4057849323   0.2982636708
23   0.2964867222    0.4069261447   0.2965871558
24   0.2974058643    0.4088627068   0.2937314507
25   0.2989960182    0.4121231792   0.2888808239
26   0.3017984498    0.4175226461   0.2806789253
27   0.3069467972    0.4261440055   0.2669092193
28   0.3172046456    0.4387496302   0.2440457476
29   0.3403926       0.4528891953   0.20671823
30   0.4004693264    0.452114684    0.1474160178
;

var PC = 99.99999863;
var PR = 100;

