var Vs = 113.322834;

var y [*,*]
:          1              2              3          :=
1    0.0405769909    0.5892587662   0.3701642362
2    0.07762569635   0.6053037132   0.3170705945
3    0.1265224658    0.5898586789   0.2836188659
4    0.1864036587    0.5551826788   0.2584136767
5    0.2533803128    0.5100311329   0.2365885705
6    0.3210743833    0.461973917    0.2169517166
7    0.3828143627    0.4172709324   0.1999147217
8    0.4340559936    0.379868968    0.1860750547
9    0.4733538052    0.3510852595   0.1755609509
10   0.501702727     0.3302888442   0.1680084439
11   0.5212622345    0.3159300085   0.1628077718
12   0.5343460128    0.3063218694   0.1593321325
13   0.5429176804    0.3000262282   0.1570561064
14   0.5484569291    0.2959575088   0.1555855786
15   0.5520050608    0.2933513074   0.1546437719
16   0.5520050195    0.2933513624   0.1546438961
17   0.5520050202    0.2933513637   0.1546438944
18   0.5520050204    0.2933513641   0.1546438941
19   0.5520050206    0.2933513643   0.154643894
20   0.5520050209    0.2933513653   0.154643893
21   0.5520050219    0.2933513697   0.1546438877
22   0.552005027     0.293351391    0.1546438615
23   0.5520050533    0.2933514949   0.1546437315
24   0.5520051962    0.2933519971   0.1546430866
25   0.55200604      0.2933543706   0.1546398693
26   0.5520116268    0.2933650266   0.1546236266
27   0.5520537431    0.2934068572   0.1545396798
28   0.552410083     0.2935036037   0.1540865934
29   0.5556705091    0.2928656892   0.151464083
30   0.5858471537    0.2789460373   0.1352071792
;

var Ls = 213.3228288;

var x [*,*]
:          1              2              3          :=
1    0.01415281062   0.5210540324   0.4647929331
2    0.02819005695   0.5572862288   0.4145236222
3    0.047871342     0.5658097266   0.3863188451
4    0.07384663201   0.5576049013   0.3685483839
5    0.1056571369    0.5391840739   0.3551587084
6    0.1412369372    0.5151983579   0.3435646249
7    0.177197846     0.4896690737   0.3331330004
8    0.2099957802    0.4659216483   0.3240824913
9    0.2372167052    0.4460527243   0.3167304898
10   0.2580927554    0.4307620471   0.3111451161
11   0.2731524616    0.4197144343   0.307133022
12   0.2835429955    0.4120866363   0.3043702856
13   0.2904934489    0.4069825354   0.3025239328
14   0.2950469486    0.4036381219   0.3013148465
15   0.2979895467    0.4014767087   0.300533662
16   0.2979898942    0.4014767553   0.3005334028
17   0.2979898989    0.4014767559   0.3005334855
18   0.2979899029    0.4014767632   0.3005334729
19   0.297989904     0.4014767657   0.3005334696
20   0.2979899046    0.4014767679   0.300533467
21   0.2979899064    0.4014767756   0.3005334576
22   0.2979899149    0.4014768125   0.3005334123
23   0.2979899578    0.4014769934   0.3005331885
24   0.2979901808    0.401477877    0.3005320821
25   0.2979913959    0.4014821487   0.3005265954
26   0.297998574     0.4015023398   0.3004992262
27   0.2980460957    0.4015929848   0.3003610595
28   0.2984043362    0.4019488087   0.2996469953
29   0.3014353151    0.4027717696   0.2957930554
30   0.3291686339    0.3973453516   0.2734861588
;

var PC = 99.99999402;
var PR = 100;

