var Vs = 135.8980315;

var y [*,*]
:          1              2              3          :=
1    0.0475108077    0.57958464     0.3729045534
2    0.08283907843   0.6103189774   0.3068419454
3    0.1251947194    0.6062473815   0.2685579004
4    0.1734101941    0.5823848067   0.2442050006
5    0.2252004044    0.5482308126   0.2265687846
6    0.2774252312    0.5101914092   0.2123833612
7    0.3267943784    0.4727730469   0.2004325764
8    0.3706688458    0.4389477054   0.1903834504
9    0.4075582216    0.4102898723   0.1821519076
10   0.4371510748    0.3872193288   0.1756295978
11   0.4600063609    0.3693717066   0.1706219339
12   0.4771450554    0.3559774322   0.1668775138
13   0.4897145383    0.3461502633   0.1641351998
14   0.4987833884    0.3390586229   0.1621579902
15   0.5052495488    0.3340017496   0.1607487138
16   0.5052495893    0.3340018864   0.1607485481
17   0.5052496812    0.334002196    0.160748147
18   0.5052498943    0.3340029141   0.1607472158
19   0.5052503906    0.3340045811   0.1607450525
20   0.5052515498    0.3340084489   0.1607400256
21   0.5052542714    0.3340174118   0.1607283411
22   0.5052607279    0.3340381285   0.1607011678
23   0.5052763507    0.3340857633   0.1606379104
24   0.5053155466    0.3341941177   0.16049036
25   0.5054201107    0.3344350512   0.1601448624
26   0.50572579      0.334944365    0.1593298693
27   0.5067263726    0.3358924458   0.157381206
28   0.510379187     0.3370049838   0.1526158536
29   0.5247147514    0.3346601053   0.140625168
30   0.5805073305    0.3090761067   0.110416597
;

var Ls = 235.8980315;

var x [*,*]
:          1              2              3          :=
1    0.01949267      0.4909239      0.4895834153
2    0.03563358807   0.5420002878   0.422366117
3    0.05598578362   0.55970597     0.3843082394
4    0.08038636049   0.5573603725   0.36225326
5    0.1081627163    0.5436134301   0.3482238466
6    0.1379984344    0.5239377245   0.3380638342
7    0.1680845303    0.5020236809   0.329891782
8    0.1965255038    0.4804674111   0.3230070782
9    0.2218010586    0.4609810374   0.3172178972
10   0.2430525861    0.444471603    0.312475804
11   0.2601006746    0.4311809391   0.3087183794
12   0.2732673314    0.4208991374   0.3058335241
13   0.2831407283    0.4131828562   0.3036764084
14   0.2903818571    0.4075215417   0.3020965941
15   0.2956063133    0.4034361325   0.3009575472
16   0.2956063752    0.4034363327   0.3009572417
17   0.2956065425    0.4034368614   0.3009566085
18   0.2956068899    0.4034380331   0.3009550907
19   0.2956076966    0.4034407514   0.3009515656
20   0.2956095754    0.403447062    0.3009433762
21   0.2956139636    0.4034617041   0.300924346
22   0.2956242667    0.4034956347   0.3008801122
23   0.2956487092    0.4035740618   0.3007772426
24   0.295707852     0.4037543916   0.30053777
25   0.2958562353    0.4041645866   0.2999791916
26   0.296252081     0.4050766826   0.29867125
27   0.2974092824    0.4070047782   0.295585953
28   0.3011971568    0.4105939004   0.2882089565
29   0.3150254919    0.4148056055   0.2701689164
30   0.3692952294    0.4059286298   0.2247761554
;

var PC = 99.99999914;
var PR = 100;

