var Vs = 50.06191167;

var y [*,*]
:         1              2              3          :=
1    0.1742600082   0.5013030053   0.3244369864
2    0.268671389    0.4674380514   0.2638905596
3    0.3479762943   0.4240919081   0.2279317975
4    0.408148446    0.3859209884   0.2059305655
5    0.4503985227   0.3573266954   0.1922747819
6    0.478475637    0.3377334176   0.1837909454
7    0.4964561237   0.3249945427   0.1785493336
8    0.5076983264   0.3169683314   0.1753333422
9    0.5146221752   0.3120056495   0.1733721753
10   0.5188467452   0.308971504    0.1721817509
11   0.5214096218   0.3071288579   0.1714615203
12   0.5229589978   0.3060142782   0.171026724
13   0.5238936858   0.3053416944   0.1707646197
14   0.5244568314   0.3049364044   0.1706067642
15   0.5247958621   0.3046923882   0.1705117497
16   0.5247958621   0.3046923882   0.1705117497
17   0.5247958621   0.3046923882   0.1705117497
18   0.5247958621   0.3046923882   0.1705117497
19   0.5247958621   0.3046923882   0.1705117497
20   0.5247958621   0.3046923882   0.1705117497
21   0.5247958621   0.3046923882   0.1705117497
22   0.5247958621   0.3046923882   0.1705117497
23   0.5247958621   0.3046923882   0.1705117497
24   0.5247958621   0.3046923882   0.1705117497
25   0.5247958621   0.3046923882   0.1705117497
26   0.5247958621   0.3046923882   0.1705117497
27   0.5247958621   0.3046923882   0.1705117497
28   0.5247958624   0.3046923883   0.1705117493
29   0.5247961621   0.304692334    0.1705115039
30   0.525074422    0.3045742239   0.1703513542
;

var Ls = 100.0619117;

var x [*,*]
:          1              2              3          :=
1    0.07492557806   0.4954257761   0.4296486458
2    0.1246235239    0.4983662089   0.3770102671
3    0.171858422     0.4814232553   0.3467183227
4    0.211535409     0.4597367738   0.3287278172
5    0.2416401001    0.4406395051   0.3177203947
6    0.2627782092    0.4263335125   0.3108882782
7    0.2768254525    0.4165308121   0.3066437354
8    0.2858212584    0.4101574336   0.3040213079
9    0.2914458377    0.406141845    0.3024123173
10   0.2949099041    0.4036589687   0.3014311271
11   0.2970234961    0.4021409573   0.3008355466
12   0.2983057273    0.4012190642   0.3004752085
13   0.2990808946    0.4006614295   0.3002576759
14   0.2995485278    0.4003249296   0.3001265426
15   0.2998302748    0.4001221592   0.3000475661
16   0.2998302748    0.4001221592   0.3000475661
17   0.2998302748    0.4001221592   0.3000475661
18   0.2998302748    0.4001221592   0.3000475661
19   0.2998302748    0.4001221592   0.3000475661
20   0.2998302748    0.4001221592   0.3000475661
21   0.2998302748    0.4001221592   0.3000475661
22   0.2998302748    0.4001221592   0.3000475661
23   0.2998302748    0.4001221592   0.3000475661
24   0.2998302748    0.4001221592   0.3000475661
25   0.2998302748    0.4001221592   0.3000475661
26   0.2998302748    0.4001221592   0.3000475661
27   0.2998302748    0.4001221592   0.3000475661
28   0.2998302751    0.4001221594   0.3000475655
29   0.2998305459    0.400122221    0.3000472332
30   0.3000729252    0.4000783158   0.299848759
;

var PC = 50;
var PR = 50;

