var V [*] :=
 1 49.4596692     9 50.04666178   17 50.07736249   25 50.07736249
 2 49.59233263   10 50.05871966   18 50.07736249   26 50.07736249
 3 49.71117085   11 50.06638413   19 50.07736249   27 50.07736249
 4 49.81385208   12 50.07122011   20 50.07736249   28 50.07736249
 5 49.89586446   13 50.07425715   21 50.07736249   29 50.07736437
 6 49.95667657   14 50.07615876   22 50.07736249   30  0
 7 49.99926382   15 50.07736247   23 50.07736249
 8 50.02790987   16 50.0773625    24 50.07736249
;

var y [*,*]
:         1              2              3          :=
1    0.1785527041   0.4976479094   0.3237993866
2    0.2684303119   0.4674261483   0.2641435399
3    0.3430389619   0.4278263581   0.22913468
4    0.4000169206   0.3922896989   0.2076933806
5    0.4408221955   0.3649967745   0.1941810301
6    0.4687131454   0.345721392    0.1855654627
7    0.487170848    0.3327614853   0.1800676668
8    0.4991245715   0.3243024725   0.1765729563
9    0.5067575771   0.3188800311   0.174362392
10   0.5115875578   0.3154422343   0.172970208
11   0.5146262562   0.3132773438   0.1720964
12   0.516531041    0.3119196634   0.1715492957
13   0.5177223058   0.3110703678   0.1712073266
14   0.5184662604   0.3105399181   0.1709938222
15   0.5189304479   0.3102089288   0.1708606238
16   0.5189304475   0.3102089286   0.1708606237
17   0.5189304476   0.3102089286   0.1708606237
18   0.5189304476   0.3102089286   0.1708606237
19   0.5189304477   0.3102089286   0.1708606237
20   0.5189304476   0.3102089286   0.1708606238
21   0.5189304476   0.3102089286   0.1708606238
22   0.5189304476   0.3102089286   0.1708606238
23   0.5189304476   0.3102089286   0.1708606238
24   0.5189304476   0.3102089286   0.1708606238
25   0.5189304476   0.3102089286   0.1708606238
26   0.5189304476   0.3102089286   0.1708606238
27   0.5189304476   0.3102089286   0.1708606238
28   0.5189304482   0.3102089288   0.170860623
29   0.5189308856   0.3102088659   0.1708602509
30   0.5192695536   0.3100697408   0.1706607064
;

var L [*] :=
 1   0               11 100.0587201       21   0.07736288033
 2  99.45966959      12 100.0663845       22   0.07736288028
 3  99.59233303      13 100.0712205       23   0.07736288031
 4  99.71117125      14 100.0742575       24   0.07736288031
 5  99.81385247      15 100.0761591       25   0.07736288024
 6  99.89586486      16   0.07736287956   26   0.07736288023
 7  99.95667697      17   0.07736288106   27   0.07736288026
 8  99.99926423      18   0.0773628801    28   0.07736288018
 9 100.0279103       19   0.07736288006   29   0.07736288405
10 100.0466622       20   0.07736288021   30   0.07736489267
;

var x [*,*]
:          1              2              3          :=
1    0.08073045088   0.4899302619   0.4293392949
2    0.1293758593    0.49376812     0.3768560207
3    0.174196219     0.4787242619   0.347079519
4    0.2115047966    0.458968255    0.3295269483
5    0.240075958     0.441201026    0.3187230159
6    0.260588635     0.4275286343   0.3118827306
7    0.2746377169    0.4178570769   0.3075052061
8    0.2839491522    0.4113464504   0.3047043973
9    0.2899858802    0.4070932584   0.3029208607
10   0.2938433622    0.4043652557   0.3017913815
11   0.2962854277    0.402635047    0.3010795249
12   0.2978222758    0.4015452054   0.3006325188
13   0.2987858233    0.4008616167   0.3003525605
14   0.2993885058    0.4004339546   0.3001775402
15   0.2997649147    0.4001668297   0.300068256
16   0.2997649146    0.4001668295   0.3000682559
17   0.2997649146    0.4001668295   0.3000682559
18   0.2997649146    0.4001668295   0.3000682559
19   0.2997649146    0.4001668295   0.3000682559
20   0.2997649146    0.4001668295   0.3000682559
21   0.2997649146    0.4001668295   0.3000682559
22   0.2997649146    0.4001668295   0.3000682559
23   0.2997649146    0.4001668295   0.3000682559
24   0.2997649146    0.4001668295   0.3000682559
25   0.2997649146    0.4001668295   0.3000682559
26   0.2997649146    0.4001668295   0.3000682559
27   0.2997649146    0.4001668295   0.3000682559
28   0.2997649151    0.4001668301   0.3000682548
29   0.2997653006    0.4001669448   0.3000677541
30   0.300053297     0.400123428    0.2998232752
;

var PC = 49.99999956;
var PR = 50;

var T [*] :=
 1 369.9861072    9 362.5497973   17 362.2594125   25 362.2594125
 2 367.9338184   10 362.4349047   18 362.2594125   26 362.2594125
 3 366.2766734   11 362.3624049   19 362.2594125   27 362.2594125
 4 365.0061946   12 362.3168707   20 362.2594125   28 362.2594124
 5 364.0827856   13 362.2883578   21 362.2594125   29 362.2593988
 6 363.4415965   14 362.2705372   22 362.2594125   30 362.2499269
 7 363.0116818   15 362.2594125   23 362.2594125
 8 362.7305403   16 362.2594125   24 362.2594125
;

var TF = 362.2524956;
var QC = 512.0374806;
var QR = 534.2561857;

